Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,
Date extracted: 2016-11-07 16:35:51 +01:00,,,
,,,
Country / territory of asylum/residence,Origin,Year,Value
Australia,Syrian Arab Rep.,2011,58
Australia,Syrian Arab Rep.,2012,37
Australia,Syrian Arab Rep.,2013,141
Australia,Syrian Arab Rep.,2014,1820
Austria,Syrian Arab Rep.,2014,388
Belgium,Syrian Arab Rep.,2014,28
Brazil,Syrian Arab Rep.,2014,*
Canada,Syrian Arab Rep.,2011,16
Canada,Syrian Arab Rep.,2012,29
Canada,Syrian Arab Rep.,2013,45
Canada,Syrian Arab Rep.,2014,1083
Switzerland,Syrian Arab Rep.,2014,113
Germany,Syrian Arab Rep.,2013,2
Denmark,Syrian Arab Rep.,2013,1
Denmark,Syrian Arab Rep.,2014,124
Finland,Syrian Arab Rep.,2012,1
Finland,Syrian Arab Rep.,2014,431
France,Syrian Arab Rep.,2014,40
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,143
Hungary,Syrian Arab Rep.,2013,1
Ireland,Syrian Arab Rep.,2014,89
Liechtenstein,Syrian Arab Rep.,2014,5
Luxembourg,Syrian Arab Rep.,2014,28
Netherlands,Syrian Arab Rep.,2011,1
Netherlands,Syrian Arab Rep.,2013,14
Netherlands,Syrian Arab Rep.,2014,243
Norway,Syrian Arab Rep.,2012,1
Norway,Syrian Arab Rep.,2013,2
Norway,Syrian Arab Rep.,2014,785
New Zealand,Syrian Arab Rep.,2014,14
Philippines,Syrian Arab Rep.,2013,1
Philippines,Syrian Arab Rep.,2014,*
Sweden,Syrian Arab Rep.,2011,12
Sweden,Syrian Arab Rep.,2012,88
Sweden,Syrian Arab Rep.,2013,362
Sweden,Syrian Arab Rep.,2014,714
Uruguay,Syrian Arab Rep.,2014,43
United States of America,Syrian Arab Rep.,2011,23
United States of America,Syrian Arab Rep.,2012,41
United States of America,Syrian Arab Rep.,2013,45
United States of America,Syrian Arab Rep.,2014,271
