target,source,value
Angola,Dem. Rep. of the Congo,21104
Austria,Syrian Arab Rep.,2748
Belgium,Syrian Arab Rep.,1987
Bulgaria,Syrian Arab Rep.,2104
Burundi,Dem. Rep. of the Congo,45124
Canada,Dem. Rep. of the Congo,3874
Central African Rep.,Dem. Rep. of the Congo,10992
Congo,Dem. Rep. of the Congo,31936
Denmark,Syrian Arab Rep.,3271
Egypt,Syrian Arab Rep.,131659
France,Dem. Rep. of the Congo,13513
France,Syrian Arab Rep.,1474
Germany,Dem. Rep. of the Congo,1672
Germany,Syrian Arab Rep.,21253
Iraq,Syrian Arab Rep.,212809
Jordan,Syrian Arab Rep.,585304
Kenya,Dem. Rep. of the Congo,8076
Lebanon,Syrian Arab Rep.,851284
Libya,Syrian Arab Rep.,16796
Malawi,Dem. Rep. of the Congo,2485
Mozambique,Dem. Rep. of the Congo,2578
Namibia,Dem. Rep. of the Congo,1900
Netherlands,Syrian Arab Rep.,3404
Norway,Syrian Arab Rep.,1311
Russian Federation,Syrian Arab Rep.,1163
Rwanda,Dem. Rep. of the Congo,72988
South Africa,Dem. Rep. of the Congo,14374
South Sudan,Dem. Rep. of the Congo,13933
Sweden,Syrian Arab Rep.,17984
Switzerland,Dem. Rep. of the Congo,1287
Switzerland,Syrian Arab Rep.,2012
Turkey,Syrian Arab Rep.,585601
Uganda,Dem. Rep. of the Congo,155742
United Kingdom,Dem. Rep. of the Congo,2409
United Kingdom,Syrian Arab Rep.,3169
United Rep. of Tanzania,Dem. Rep. of the Congo,64569
United States,Syrian Arab Rep.,3802
Zambia,Dem. Rep. of the Congo,16684
Zimbabwe,Dem. Rep. of the Congo,4725
