Neighborhood_District,Potentially Life-Threatening,Non Life-threatening,Alarm,Fire
Bayview Hunters Point,724,311,309,73
Bernal Heights,251,116,123,7
Castro/Upper Market,417,146,216,19
Chinatown,353,113,196,19
Excelsior,292,177,108,0
Financial District/South Beach,961,446,624,51
Glen Park,50,22,31,0
Golden Gate Park,78,41,15,12
Haight Ashbury,194,95,112,26
Hayes Valley,294,161,144,18
Inner Richmond,230,85,89,2
Inner Sunset,169,93,83,21
Japantown,98,68,43,0
Lakeshore,99,110,102,68
Lincoln Park,11,12,1,2
Lone Mountain/USF,122,82,106,3
Marina,262,105,205,18
McLaren Park,19,6,27,4
Mission,1163,635,502,36
Mission Bay,168,96,134,13
Nob Hill,506,196,270,15
Noe Valley,119,60,139,6
North Beach,278,116,88,19
Oceanview/Merced/Ingleside,170,94,110,19
Outer Mission,174,105,77,15
Outer Richmond,314,141,223,6
Pacific Heights,284,91,213,23
Portola,142,58,37,9
Potrero Hill,200,95,153,29
Presidio,35,18,28,56
Presidio Heights,70,66,76,0
Russian Hill,186,87,207,12
Seacliff,10,4,21,8
South of Market,1540,758,508,20
Sunset/Parkside,524,251,254,62
Tenderloin,2066,1026,682,24
Treasure Island,77,37,19,4
Twin Peaks,65,15,76,1
Visitacion Valley,159,83,74,9
West of Twin Peaks,258,159,106,9
Western Addition,441,232,233,12
