Neighborhood_District,Total
Bayview Hunters Point,1004
Bernal Heights,497
Castro/Upper Market,798
Chinatown,681
Excelsior,577
Financial District/South Beach,2082
Glen Park,103
Golden Gate Park,146
Haight Ashbury,427
Hayes Valley,617
Inner Richmond,406
Inner Sunset,366
Japantown,209
Lakeshore,379
Lincoln Park,26
Lone Mountain/USF,313
Marina,590
McLaren Park,56
Mission,2336
Mission Bay,411
Nob Hill,987
Noe Valley,324
North Beach,501
Oceanview/Merced/Ingleside,393
Outer Mission,371
Outer Richmond,684
Pacific Heights,611
Portola,246
Potrero Hill,477
Presidio,137
Presidio Heights,212
Russian Hill,492
Seacliff,43
South of Market,1810
Sunset/Parkside,1091
Tenderloin,3798
Treasure Island,137
Twin Peaks,157
Visitacion Valley,325
West of Twin Peaks,532
Western Addition,918
