Country,Total_Refugees,Total_Refugees_Assisted_UNHCR
Afghanistan,16863,16863
Albania,93,93
Algeria,94150,90145
Angola,23783,5072
Argentina,3362,119
Armenia,13732,6052
Aruba,1,1
Australia,34503,0
Austria,55598,0
Azerbaijan,1380,1380
Bahamas,15,14
Bahrain,294,294
Bangladesh,231145,35645
Barbados,1,1
Belarus,604,272
Belgium,25633,0
Belize,21,6
Benin,194,194
Bolivia,748,161
Bosnia and Herzegovina,6926,290
Botswana,2773,2773
Brazil,5,196
British Virgin Islands,0,0
Bulgaria,4320,2462
Burkina Faso,29234,28915
Burundi,45490,45490
Cambodia,68,68
Cameroon,114753,114753
Canada,160349,0
Cayman Islands,6,6
Central African Rep.,14322,14322
Chad,434479,410979
Chile,1743,185
China,301047,144
Colombia,224,42
Congo,51037,51037
Costa Rica,20569,16501
Croatia,684,684
Cuba,384,257
Cyprus,3883,0
Czech Rep.,2979,0
Dem. Rep. of the Congo,113362,50204
Denmark,13170,0
Djibouti,20015,20015
Dominican Rep.,721,721
Ecuador,123209,54865
Egypt,230086,160086
El Salvador,44,31
Eritrea,3166,3166
Estonia,70,0
Ethiopia,433936,433936
Fiji,5,5
Finland,11252,0
France,232487,0
Gabon,1594,1594
Gambia,9563,9560
Georgia,847,847
Germany,187567,0
Ghana,18681,18664
Greece,3485,0
Guatemala,160,19
Guinea,8560,8560
Guinea-Bissau,8535,8535
Guyana,11,4
Honduras,16,4
Hong Kong,126,126
Hungary,2440,0
Iceland,79,0
India,188395,22721
Indonesia,3206,3206
Iraq,246298,246298
Ireland,6001,0
Islamic Rep. of Iran,857354,857354
Israel,48325,4656
Italy,76264,0
Jamaica,21,21
Japan,2584,555
Jordan,641915,606692
Kazakhstan,584,584
Kenya,534938,534938
Kuwait,635,635
Kyrgyzstan,466,466
Latvia,160,0
Lebanon,856546,856546
Lesotho,30,0
Liberia,53253,53253
Libya,25561,25561
Liechtenstein,97,0
Lithuania,916,0
Luxembourg,2873,0
Madagascar,12,12
Malawi,5796,5796
Malaysia,97513,97507
Mali,14316,13832
Malta,9906,0
Mauritania,92767,66767
Mexico,1831,286
Monaco,34,0
Mongolia,9,9
Montenegro,8476,8476
Morocco,1470,1470
Mozambique,4445,2344
Myanmar,0,0
Namibia,2332,2332
Nepal,46305,31305
Netherlands,74707,0
New Zealand,1403,0
Nicaragua,189,88
Niger,57661,57661
Nigeria,1694,1694
Norway,46106,0
Oman,138,138
Pakistan,1616507,1616507
Palau,1,1
Panama,17665,231
Papua New Guinea,9378,0
Paraguay,136,13
Peru,1162,78
Philippines,182,35
Poland,16438,0
Portugal,598,0
Qatar,130,130
Rep. of Korea,547,139
Rep. of Moldova,250,250
Romania,1770,161
Russian Federation,3458,3458
Rwanda,73349,73349
Saint Lucia,5,5
Saudi Arabia,559,559
Senegal,14247,14247
Serbia (and Kosovo),57083,7816
Sierra Leone,2817,1583
Singapore,3,3
Slovakia,701,0
Slovenia,213,0
Somalia,2425,2425
South Africa,65881,13147
South Sudan,229587,229587
Spain,4637,0
Sri Lanka,145,145
Sudan,159857,99663
Swaziland,507,163
Sweden,114175,0
Switzerland,52464,0
Syrian Arab Rep.,149292,31390
Tajikistan,2048,1947
Thailand,136499,78970
The former Yugoslav Rep. of Macedonia,982,982
Togo,20613,12150
Tonga,3,3
Trinidad and Tobago,20,4
Tunisia,730,730
Turkey,609938,609938
Turkmenistan,45,45
Turks and Caicos Islands,4,4
Uganda,220555,220555
Ukraine,2968,516
United Arab Emirates,603,603
United Kingdom,126,55
United Rep. of Tanzania,102099,79872
United States,263662,0
Uruguay,203,99
Uzbekistan,141,141
Vanuatu,2,2
Venezuela,204340,23269
Yemen,241288,241288
Zambia,23594,23594
Zimbabwe,6389,6389
